1924,0.05
1925,0.23
1926,-0.13
1927,-0.66
1928,-0.17
1929,0.14
1930,0.45
1931,0.09
1932,-0.22
1933,0.58
1934,0.47
1935,0.04
1936,-0.33
1937,-0.39
1938,0.05
1939,1.01
1940,-0.97
1941,0.53
1942,-1.78
1943,-1.83
1944,-0.85
1945,-0.14
1946,0.1
1947,0.74
1948,-1.41
1949,-0.66
1950,0.78
1951,-1.03
1952,-0.51
1953,-0.23
1954,-0.49
1955,-1.27
1956,-0.83
1957,0.38
1958,0.18
1959,-0.96
1960,0.77
1961,0.01
1962,-1.02
1963,-0.18
1964,-1.23
1965,-0.75
1966,-2.47
1967,-2.34
1968,-2.42
1969,-2.15
1970,0.02
1971,-2.27
1972,-0.73
1973,-1.0
1974,0.21
1975,-1.49
1976,-0.53
1977,-1.56
1978,-1.48
1979,-1.67
1980,-0.35
1981,-1.99
1982,-1.87
1983,-1.07
1984,0.31
1985,-0.7
1986,-1.22
1987,-0.38
1988,-1.62
1989,-1.19
1990,-0.17
1991,0.29
1992,-0.41
1993,-0.29
1994,-0.17
1995,-0.47
1996,-0.54
1997,-1.4
1998,-0.33
1999,0.74
2000,-0.12
2001,-1.13
2002,1.04
2003,0.77
2004,0.69
2005,0.38
2006,0.94
2007,0.4
2008,0.64
2009,0.81
2010,0.62
