1924,-0.44
1925,0.1
1926,-1.5
1927,-1.59
1928,-1.14
1929,-1.35
1930,0.97
1931,-0.76
1932,0.16
1933,-0.52
1934,1.02
1935,-0.42
1936,-0.44
1937,1.78
1938,1.97
1939,0.25
1940,-1.71
1941,-2.45
1942,-2.9
1943,0.45
1944,0.38
1945,-0.29
1946,-1.08
1947,-0.34
1948,-0.18
1949,0.98
1950,0.25
1951,-0.77
1952,-0.46
1953,0.09
1954,0.23
1955,-1.92
1956,-3.27
1957,0.07
1958,-1.23
1959,0.18
1960,-0.75
1961,1.27
1962,-1.43
1963,-1.32
1964,-0.2
1965,-1.36
1966,-3.31
1967,0.54
1968,-3.41
1969,-1.08
1970,-1.08
1971,-2.31
1972,0.19
1973,0.17
1974,0.49
1975,0.87
1976,-1.98
1977,-1.55
1978,-1.57
1979,-1.79
1980,-1.56
1981,-0.61
1982,-1.63
1983,-0.27
1984,-0.69
1985,-2.32
1986,-1.18
1987,-2.54
1988,-2.1
1989,1.06
1990,-0.2
1991,1.08
1992,-0.01
1993,-0.1
1994,-0.62
1995,0.17
1996,-0.63
1997,-0.55
1998,-1.72
1999,-0.27
2000,0.85
2001,-0.22
2002,-0.31
2003,-0.03
2004,0.08
2005,1.68
2006,0.18
2007,0.69
2008,0.58
2009,0.44
2010,0.06

